latitude,longitude,elevation
-27.0714221802,-48.9433222543,30.85
-27.0714238565,-48.9433233440,30.85
-27.0714251138,-48.9433246851,30.86
-27.0714362618,-48.9433258586,30.86
-27.0714464039,-48.9433205780,30.86
-27.0714498404,-48.9433157165,30.87
-27.0714518521,-48.9433025569,30.88
-27.0714483317,-48.9433020540,30.88
-27.0714410394,-48.9433007967,30.89
-27.0714410394,-48.9432949293,30.89
-27.0714384411,-48.9432898164,30.89
-27.0714417938,-48.9432795066,30.90
-27.0714541990,-48.9432800934,30.90
-27.0714636706,-48.9432907384,30.91
-27.0714750700,-48.9432993717,30.91
-27.0714734774,-48.9432940912,30.91
-27.0714683644,-48.9432863798,30.92
-27.0714599825,-48.9432776626,30.93
-27.0714533608,-48.9432624076,30.93
-27.0714434702,-48.9432542771,30.94
-27.0714370161,-48.9432463143,30.94
-27.0714298077,-48.9432340767,30.95
-27.0714385249,-48.9432306401,30.95
-27.0714464039,-48.9432277903,30.96
-27.0714569651,-48.9432295505,30.96
-27.0714677777,-48.9432302210,30.97
-27.0714809373,-48.9432263654,30.97
-27.0714924205,-48.9432248566,30.98
-27.0714973658,-48.9432241023,30.99
-27.0715068374,-48.9432223421,30.99
-27.0715105254,-48.9432164747,31.00
-27.0715093520,-48.9432032313,31.01
-27.0715057477,-48.9431941789,31.01
-27.0714978687,-48.9431791753,31.02
-27.0714928396,-48.9431701228,31.02
-27.0714852121,-48.9431754034,31.03
-27.0714761596,-48.9431773312,31.03
-27.0714688674,-48.9431734756,31.04
-27.0714604016,-48.9431681950,31.04
-27.0714538638,-48.9431676921,31.05
-27.0714502595,-48.9431702066,31.06
-27.0714428835,-48.9431635849,31.05
-27.0714376867,-48.9431590587,31.05
-27.0714020636,-48.9431763254,31.08
-27.0713913348,-48.9431764930,31.08
-27.0713843778,-48.9431768283,31.09
-27.0713655185,-48.9431513473,31.10
-27.0713649318,-48.9431402832,31.11
-27.0713735651,-48.9431348350,31.11
-27.0713790134,-48.9431292191,31.11
-27.0713885687,-48.9431247767,31.12
-27.0713985432,-48.9431228489,31.13
-27.0714136306,-48.9431200828,31.14
-27.0714272931,-48.9431175683,31.14
-27.0714364294,-48.9431141317,31.15
-27.0714336634,-48.9431095216,31.17
-27.0714345016,-48.9431025647,31.20
-27.0714578032,-48.9430855494,31.19
-27.0714721363,-48.9430726413,31.27
-27.0714853797,-48.9430619963,31.27
-27.0715039875,-48.9430471603,31.24
-27.0715150516,-48.9430342522,31.29
-27.0715254452,-48.9430179913,31.23
-27.0715295523,-48.9430121239,31.26
-27.0715311449,-48.9430061728,31.23
-27.0715272054,-48.9430095255,31.23
-27.0715220924,-48.9430117048,31.24
-27.0715252776,-48.9430122077,31.25
-27.0715301391,-48.9430099446,31.24
-27.0715285465,-48.9430134650,31.25
-27.0715304743,-48.9430127945,31.26
-27.0715301391,-48.9430101123,31.26
-27.0715318993,-48.9430036582,31.27
-27.0715304743,-48.9430138003,31.27
-27.0715334080,-48.9430051669,31.28
-27.0715313125,-48.9430040773,31.28
-27.0715308934,-48.9430070948,31.29
-27.0715334918,-48.9430066757,31.27
-27.0715408679,-48.9430065081,31.30
-27.0715405326,-48.9430054184,31.30
-27.0715417899,-48.9430055860,31.30
-27.0715419576,-48.9430065081,31.30
-27.0715411194,-48.9430104475,31.31
-27.0715379342,-48.9430136327,31.31
