x,y,z,zoneLetter,zoneNumber,x_rel,y_rel,z_rel
596168.9154411642,7262198.86160145,1019.38,J,22.0,183.8069541666191,87.3781853672117,4.939999999999941
596168.4852260458,7262196.720417399,1019.37,J,22.0,183.37673904828262,85.2370013166219,4.92999999999995
596168.0975741299,7262194.606788656,1019.36,J,22.0,182.9890871323878,83.1233725734055,4.919999999999959
596167.9627262517,7262192.277906667,1019.34,J,22.0,182.85423925414216,80.79449058510363,4.899999999999977
596168.1925204205,7262189.974341329,1019.36,J,22.0,183.08403342298698,78.49092524684966,4.919999999999959
596168.6768500985,7262187.706126891,1019.36,J,22.0,183.5683631009888,76.22271080873907,4.919999999999959
596168.685120977,7262185.237016423,1019.34,J,22.0,183.57663397944998,73.75360034033656,4.899999999999977
596168.5674788832,7262182.945146019,1019.36,J,22.0,183.4589918856509,71.46172993630171,4.919999999999959
596168.5329730475,7262180.42065268,1019.35,J,22.0,183.4244860499166,68.93723659776151,4.909999999999968
596168.5674498293,7262178.062742558,1019.33,J,22.0,183.45896283176262,66.57932647597045,4.889999999999986
596168.7393355209,7262175.963784642,1019.36,J,22.0,183.63084852334578,64.48036855924875,4.919999999999959
596168.6658693417,7262173.93151447,1019.36,J,22.0,183.55738234415185,62.44809838756919,4.919999999999959
596168.4051730632,7262171.789152092,1018.55,J,22.0,183.2966860656161,60.30573600996286,4.1099999999999
596168.0692238781,7262169.795826491,1018.54,J,22.0,182.96073688054457,58.31241040863097,4.099999999999909
596167.5294638885,7262167.748226251,1018.54,J,22.0,182.42097689094953,56.26481016911566,4.099999999999909
596167.4463626869,7262165.548938176,1018.54,J,22.0,182.33787568937987,54.06552209332585,4.099999999999909
596167.1874730696,7262163.6664594505,1018.54,J,22.0,182.0789860720979,52.183043368160725,4.099999999999909
596166.7939931753,7262161.933429932,1018.54,J,22.0,181.6855061777169,50.45001384988427,4.099999999999909
596166.3831786119,7262160.144840702,1018.54,J,22.0,181.27469161432236,48.661424620077014,4.099999999999909
596166.4803794938,7262159.49440788,1016.76,J,22.0,181.37189249624498,48.01099179778248,2.3199999999999363
596166.3113775854,7262159.569844951,1016.76,J,22.0,181.2028905878542,48.086428868584335,2.3199999999999363
596166.2690625691,7262159.579419099,1016.76,J,22.0,181.16057557158638,48.09600301645696,2.3199999999999363
596166.2269411288,7262159.616843068,1016.76,J,22.0,181.11845413129777,48.13342698570341,2.3199999999999363
596166.193551564,7262159.691326471,1016.76,J,22.0,181.08506456646137,48.207910388708115,2.3199999999999363
596166.1263955515,7262159.784615706,1016.76,J,22.0,181.0179085539421,48.30119962338358,2.3199999999999363
596166.0850482512,7262159.9334168155,1016.75,J,22.0,180.97656125365756,48.45000073313713,2.3099999999999454
596166.0011924371,7262160.063953323,1016.75,J,22.0,180.89270543958992,48.58053724095225,2.3099999999999454
596165.9426291871,7262160.175742895,1016.75,J,22.0,180.83414218958933,48.69232681300491,2.3099999999999454
596165.841567536,7262160.269267796,1016.75,J,22.0,180.7330805384554,48.78585171326995,2.3099999999999454
596165.4124278757,7262159.50183081,1016.7,J,22.0,180.3039408781333,48.018414727412164,2.259999999999991
596165.2224365388,7262157.77667799,1016.71,J,22.0,180.11394954123534,46.29326190799475,2.269999999999982
596165.1179682689,7262156.162313251,1016.71,J,22.0,180.00948127137963,44.67889716848731,2.269999999999982
596164.7830520371,7262154.317494106,1016.71,J,22.0,179.6745650395751,42.83407802321017,2.269999999999982
596164.396508384,7262152.361651268,1016.72,J,22.0,179.28802138648462,40.87823518551886,2.2799999999999727
596164.0111260194,7262150.57287413,1016.71,J,22.0,178.90263902186416,39.089458047412336,2.269999999999982
596163.405426929,7262148.794919393,1016.71,J,22.0,178.29693993146066,37.31150331068784,2.269999999999982
596163.0943944699,7262146.7271580845,1016.72,J,22.0,177.98590747232083,35.24374200217426,2.2799999999999727
596163.0204774382,7262144.629908616,1016.73,J,22.0,177.91199044068344,33.146492533385754,2.2899999999999636
596163.268583872,7262142.521140899,1016.73,J,22.0,178.16009687446058,31.03772481624037,2.2899999999999636
596163.0609354965,7262140.693997191,1016.73,J,22.0,177.95244849892333,29.210581108927727,2.2899999999999636
596162.6235289495,7262138.738507817,1016.73,J,22.0,177.515041951905,27.25509173423052,2.2899999999999636
596162.2199635954,7262136.773503188,1016.73,J,22.0,177.11147659784183,25.290087105706334,2.2899999999999636
596162.205964587,7262134.75937967,1016.72,J,22.0,177.09747758950107,23.27596358768642,2.2799999999999727
596162.1661568405,7262132.689733194,1016.71,J,22.0,177.05766984296497,21.206317111849785,2.269999999999982
596162.0241808472,7262130.555825533,1016.71,J,22.0,176.91569384967443,19.072409451007843,2.269999999999982
596161.9337678617,7262128.523673048,1016.71,J,22.0,176.82528086414095,17.040256965905428,2.269999999999982
596161.6835240388,7262127.8849462215,1016.7,J,22.0,176.57503704121336,16.401530139148235,2.259999999999991
596160.705646483,7262127.43691056,1016.7,J,22.0,175.59715948544908,15.953494478017092,2.259999999999991
596159.1470284339,7262126.361736106,1016.71,J,22.0,174.0385414363118,14.878320023417473,2.269999999999982
