cut,cutAccError,difference,elevation,fill,fillAccError,usableCut
4113.92477259171,6.332667923752308e-11,4113.92477259171,0.0,0.0,0.0,2938.5176947083646
2993.6619236095503,6.404239842259309e-11,2948.709910718743,0.3,44.95201289080751,1.6316621594300897e-11,2138.3299454353933
2000.6767536877855,6.647162801592863e-11,1783.4950488457866,0.6,217.1817048419989,3.093769211741709e-11,1429.054824062704
1153.9672038969566,7.103474223853706e-11,618.2801869728146,0.8999999999999999,535.687016924142,4.343146458849841e-11,824.2622884978261
885.1788879989135,8.373631421142079e-11,546.9346749001415,1.2,1432.113562899055,4.77550311195376e-11,632.2706342849383
744.1363550182141,9.829276925892002e-11,1712.1495367731127,1.5,2456.285891791327,5.0228335957150273e-11,531.525967870153
603.0938220375201,1.1285389379758411e-10,2877.364398646083,1.7999999999999998,3480.458220683603,5.2707889274885024e-11,430.78130145537153
462.0512890568343,1.2741892705875044e-10,4042.57926051903,2.1,4504.630549575864,5.5188720434111426e-11,330.03663504059597
321.0087560761349,1.4199064121636017e-10,5207.794122392003,2.4,5528.802878468138,5.7671112731620296e-11,229.29196862581065
179.9662230954509,1.5656794276726582e-10,6373.008984264965,2.6999999999999997,6552.975207360416,6.015466256316791e-11,128.54730221103637
38.923690114741476,1.7114703221511896e-10,7538.223846137944,3.0,7577.147536252685,6.263943706229459e-11,27.802635796243912
