latitude,longitude,altitude-24.9361964688,-51.3905997667,883.16
-24.9361993186,-51.3906013593,883.16
-24.9364559725,-51.3905990124,883.18
-24.9367128778,-51.3905974198,880.68
-24.9369453918,-51.3905696757,878.91
-24.9371876288,-51.3905401714,875.59
-24.9373261817,-51.3906822447,873.80
-24.9373338092,-51.3907530718,873.05
-24.9373334739,-51.3909294270,871.35
-24.9373412691,-51.3912213687,870.63
-24.9373185541,-51.3913920242,869.86
-24.9373066518,-51.3915133104,869.13
-24.9373114295,-51.3916280586,869.20
-24.9373172969,-51.3917757478,869.25
-24.9373272713,-51.3918808568,871.72
-24.9373421073,-51.3920382690,874.25
-24.9373423588,-51.3922643289,875.77
-24.9373431131,-51.3925250061,876.80
-24.9373370782,-51.3925391715,876.81
-24.9372442067,-51.3927087374,877.68
-24.9372107629,-51.3927209750,878.51
-24.9370924942,-51.3927208073,880.06
-24.9369281251,-51.3927068934,881.73
-24.9367816094,-51.3927054685,884.16
-24.9367739819,-51.3926990982,884.16
-24.9366818648,-51.3925726991,884.91
-24.9365578964,-51.3924960047,885.92
-24.9363957904,-51.3924675900,886.68
-24.9362879992,-51.3924050611,886.69
-24.9361580797,-51.3923236728,886.72
-24.9360045232,-51.3922618143,886.73
-24.9359256495,-51.3921514247,886.72
-24.9358513020,-51.3920427114,886.69
-24.9356856756,-51.3919529412,886.69
-24.9356651399,-51.3919373509,884.39
-24.9355966598,-51.3918142207,883.48
-24.9355994258,-51.3917873986,883.48
-24.9356329534,-51.3914883323,883.49
-24.9356264155,-51.3912779465,882.69
-24.9357455224,-51.3911178522,882.72
-24.9357878510,-51.3911128230,885.08
-24.9357964005,-51.3911078777,885.08
-24.9358429201,-51.3910642918,885.95
-24.9359695707,-51.3908903673,887.53
-24.9361025076,-51.3906938117,887.54
-24.9361804593,-51.3905823324,887.55
-24.9363868218,-51.3906539138,884.58
-24.9364609178,-51.3907376491,884.60
-24.9365165737,-51.3908317778,882.73
-24.9365656078,-51.3909007609,881.52
-24.9366174918,-51.3910051994,880.65
-24.9366790149,-51.3910774514,879.90
-24.9367545359,-51.3911477756,876.78
-24.9368300568,-51.3912569080,875.91
-24.9368710443,-51.3913123962,875.97
-24.9368849583,-51.3913617656,875.10
-24.9369157199,-51.3914181758,875.14
-24.9369831942,-51.3915829640,874.37
-24.9369940069,-51.3916779310,874.45
-24.9369513430,-51.3916975446,876.79
-24.9369158037,-51.3917292282,878.38
-24.9369014706,-51.3917725626,879.12
-24.9369116127,-51.3918069284,879.13
-24.9369292147,-51.3919561263,881.61
-24.9369836971,-51.3920931704,882.73
-24.9370520934,-51.3921996206,883.50
-24.9370696954,-51.3922314718,883.50
-24.9371366668,-51.3923266064,883.51
-24.9371566996,-51.3923572004,881.22
-24.9372110143,-51.3924126048,881.29
-24.9372468051,-51.3924274407,880.40
-24.9373153690,-51.3924508262,880.45
-24.9373170454,-51.3924522512,880.45
-24.9372885469,-51.3905633055,878.72
-24.9372742977,-51.3905782253,878.75
-24.9372416083,-51.3906052150,878.74
-24.9372128583,-51.3906210568,878.72
-24.9371148739,-51.3907367270,880.78
-24.9370404426,-51.3908352982,880.72
-24.9370115250,-51.3908807281,880.70
-24.9369654246,-51.3909637928,880.65
-24.9369231798,-51.3911621086,880.57
-24.9369191565,-51.3911918644,878.25
-24.9369056616,-51.3912719954,877.46
-24.9368295539,-51.3913952094,876.68
-24.9367241096,-51.3914537989,875.92
-24.9366770033,-51.3914648630,878.39
-24.9366251193,-51.3915169984,878.36
-24.9365430605,-51.3915428985,879.18
-24.9364900868,-51.3915420603,880.00
-24.9363917671,-51.3915770128,879.96
-24.9362834729,-51.3915952016,880.76
-24.9362372048,-51.3915998954,881.55
-24.9361147452,-51.3916130550,883.22
-24.9360949639,-51.3916202635,883.20
-24.9359466042,-51.3916077744,885.67
-24.9358675629,-51.3915937766,885.61
-24.9357037805,-51.3915980514,885.56
-24.9356289301,-51.3915806171,885.43
-24.9356324505,-51.3916113786,885.49
-24.9357530661,-51.3916700520,885.51
-24.9358331971,-51.3917000592,885.45
-24.9358408246,-51.3917081058,885.44
-24.9358818959,-51.3917216007,885.43
-24.9359913636,-51.3917643484,885.38
-24.9360714946,-51.3917748258,882.71
-24.9361194391,-51.3917836268,881.95
-24.9362330977,-51.3918497600,881.08
