x,y,z,zoneLetter,zoneNumber,x_rel,y_rel,z_rel
460507.6180177472,7241979.790875826,880.57,J,22.0,157.3162480291794,46.895705772563815,11.530000000000086
460504.6125095697,7241980.2277251575,878.25,J,22.0,154.31073985167313,47.33255510404706,9.210000000000036
460496.51796518744,7241981.698714473,877.46,J,22.0,146.2161954694311,48.80354441981763,8.420000000000073
460484.0536735762,7241990.090243999,876.68,J,22.0,133.75190385821043,57.1950739454478,7.639999999999986
460478.10468193213,7242001.748980445,875.92,J,22.0,127.80291221413063,68.85381039138883,6.8799999999999955
460476.97259301116,7242006.96181083,878.39,J,22.0,126.67082329315599,74.06664077658206,9.350000000000023
460471.6923000893,7242012.691726352,878.36,J,22.0,121.39053037128178,79.796556298621,9.32000000000005
460469.0511700002,7242021.77050676,879.18,J,22.0,118.74940028222045,88.87533670663834,10.139999999999986
460469.1188966609,7242027.636491897,880.0,J,22.0,118.81712694291491,94.74132184311748,10.960000000000036
460465.55861539836,7242038.513196422,879.96,J,22.0,115.25684568035649,105.61802636831999,10.920000000000073
460463.6876629811,7242050.49924669,880.76,J,22.0,113.38589326309739,117.60407663695514,11.720000000000027
460463.19899858546,7242055.621115776,881.55,J,22.0,112.89722886745585,122.72594572231174,12.509999999999991
460461.831286879,7242069.177153681,883.22,J,22.0,111.52951716101961,136.28198362793773,14.180000000000064
460461.09718041134,7242071.365425987,883.2,J,22.0,110.79541069333209,138.470255933702,14.160000000000082
460462.310782877,7242087.79682602,885.67,J,22.0,112.00901315896772,154.901655966416,16.629999999999995
460463.69882986473,7242096.5530865025,885.61,J,22.0,113.39706014672993,163.65791644901037,16.57000000000005
460463.21497228736,7242114.687353449,885.56,J,22.0,112.91320256935433,181.79218339547515,16.519999999999982
460464.9513219823,7242122.980557839,885.43,J,22.0,114.64955226430902,190.085387785919,16.389999999999986
460461.8466488265,7242122.581796978,885.49,J,22.0,111.54487910849275,189.68662692420185,16.450000000000045
460455.9612545145,7242109.209044229,885.51,J,22.0,105.65948479651706,176.31387417577207,16.470000000000027
460452.957192351,7242100.327462546,885.45,J,22.0,102.65542263298994,167.4322924921289,16.410000000000082
460452.1472131764,7242099.480533136,885.44,J,22.0,101.84544345841277,166.58536308258772,16.40000000000009
460450.79782867973,7242094.928809431,885.43,J,22.0,100.4960589617258,162.03363937791437,16.389999999999986
